Date	ID	PS
2016-09-30	NFLX	5.54137
2016-10-31	AMZN	2.93113
2016-10-31	MSFT	5.46194
2016-10-31	NFLX	6.55385
2016-11-30	AMZN	2.78547
2016-11-30	MSFT	5.49294
2016-11-30	NFLX	6.14079
2016-12-30	AMZN	2.78287
2016-12-30	MSFT	5.66431
2016-12-30	NFLX	6.4977
2017-01-31	AMZN	3.05605
2017-01-31	MSFT	5.83214
2017-01-31	NFLX	6.85259
2017-02-28	AMZN	2.96414
2017-02-28	MSFT	5.7717
2017-02-28	NFLX	6.92174
2017-03-31	AMZN	3.10971
2017-03-31	MSFT	5.9413
2017-03-31	NFLX	7.19836
2017-04-28	AMZN	3.10118
2017-04-28	MSFT	6.06
2017-04-28	NFLX	6.89802
2017-05-31	AMZN	3.33463
2017-05-31	MSFT	6.18215
2017-05-31	NFLX	7.39067
2017-06-30	AMZN	3.24538
2017-06-30	MSFT	6.1016
2017-06-30	NFLX	6.77157
2017-07-31	AMZN	3.15829
2017-07-31	MSFT	6.22981
2017-07-31	NFLX	7.69705
2017-08-31	AMZN	3.13533
2017-08-31	MSFT	6.40719
2017-08-31	NFLX	7.40258
2017-09-29	AMZN	3.07378
2017-09-29	MSFT	6.3832
2017-09-29	NFLX	7.68392
2017-10-31	AMZN	3.30581
2017-10-31	MSFT	6.82884
2017-10-31	NFLX	7.8094
2017-11-30	AMZN	3.51957
2017-11-30	MSFT	6.91011
2017-11-30	NFLX	7.45755
2017-12-29	AMZN	3.4978
2017-12-29	MSFT	7.02259
2017-12-29	NFLX	7.63168
2018-01-31	AMZN	4.33951
2018-01-31	MSFT	7.40471
2018-01-31	NFLX	10.01872
2018-02-28	AMZN	4.1156
2018-02-28	MSFT	7.30807
2018-02-28	NFLX	10.80006
2018-03-30	AMZN	3.93843
2018-03-30	MSFT	7.11323
2018-03-30	NFLX	10.94721
2018-04-30	AMZN	3.93166
2018-04-30	MSFT	6.94232
2018-04-30	NFLX	10.64621
2018-05-31	AMZN	4.09105
2018-05-31	MSFT	7.33724
2018-05-31	NFLX	11.9798
2018-06-29	AMZN	4.26723
2018-06-29	MSFT	7.32017
2018-06-29	NFLX	13.3369
2018-07-31	AMZN	4.1591
2018-07-31	MSFT	7.37927
2018-07-31	NFLX	10.58779
2018-08-31	AMZN	4.70962
2018-08-31	MSFT	7.81404
2018-08-31	NFLX	11.53628
2018-09-28	AMZN	4.6869
2018-09-28	MSFT	7.95595
2018-09-28	NFLX	11.73865
2018-10-31	AMZN	3.53656
2018-10-31	MSFT	7.13889
2018-10-31	NFLX	8.83633
2018-11-30	AMZN	3.74052
2018-11-30	MSFT	7.41158
2018-11-30	NFLX	8.37809
2018-12-31	AMZN	3.32401
2018-12-31	MSFT	6.78866
2018-12-31	NFLX	7.83727
2019-01-31	AMZN	3.62363
2019-01-31	MSFT	6.77311
2019-01-31	NFLX	9.3847
2019-02-28	AMZN	3.45728
2019-02-28	MSFT	7.26603
2019-02-28	NFLX	9.89886
2019-03-29	AMZN	3.75439
2019-03-29	MSFT	7.64934
2019-03-29	NFLX	9.85629
2019-04-30	AMZN	3.9241
2019-04-30	MSFT	8.19222
2019-04-30	NFLX	9.75036
2019-05-31	AMZN	3.61562
2019-05-31	MSFT	7.75815
2019-05-31	NFLX	9.03304
2019-06-28	AMZN	3.85711
2019-06-28	MSFT	8.40299
2019-06-28	NFLX	9.66563
2019-07-31	AMZN	3.65857
2019-07-31	MSFT	8.27628
2019-07-31	NFLX	8.0212
2019-08-30	AMZN	3.48122
2019-08-30	MSFT	8.37285
2019-08-30	NFLX	7.29504
2019-09-30	AMZN	3.40208
2019-09-30	MSFT	8.4439
2019-09-30	NFLX	6.64613
2019-10-31	AMZN	3.31282
2019-10-31	MSFT	8.43119
2019-10-31	NFLX	6.67296
2019-11-29	AMZN	3.35783
2019-11-29	MSFT	8.90224
2019-11-29	NFLX	7.30564
2019-12-31	AMZN	3.44554
2019-12-31	MSFT	9.2739
2019-12-31	NFLX	7.51251
2020-01-31	AMZN	3.56602
2020-01-31	MSFT	9.65088
2020-01-31	NFLX	7.51262
2020-02-28	AMZN	3.34416
2020-02-28	MSFT	9.18486
2020-02-28	NFLX	8.0338
2020-03-31	AMZN	3.46128
2020-03-31	MSFT	8.94108
2020-03-31	NFLX	8.17465
2020-04-30	AMZN	4.16685
2020-04-30	MSFT	9.80688
2020-04-30	NFLX	8.62686
2020-05-29	AMZN	4.11358
2020-05-29	MSFT	10.02796
2020-05-29	NFLX	8.62439
2020-06-30	AMZN	4.64656
2020-06-30	MSFT	11.13664
2020-06-30	NFLX	9.34992
2020-07-31	AMZN	4.92728
2020-07-31	MSFT	10.85292
2020-07-31	NFLX	9.52805
2020-08-31	AMZN	5.37301
2020-08-31	MSFT	11.93922
2020-08-31	NFLX	10.32088
2020-09-30	AMZN	4.90245
2020-09-30	MSFT	11.13456
2020-09-30	NFLX	9.74535
